start_date,end_date,recipient_name,amount
2011-11-22,2016-11-30,L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,14403559.0
2006-06-12,2011-08-24,DYNCORP TECHNICAL SERVICES INC,14259250.01
2010-08-06,2015-04-10,HUNTER CONTRACTING CO,13603305.63
2019-08-01,2019-08-31,MCKESSON CORPORATION,13460749.74
2019-03-08,2021-03-31,ARLLUK TECHNOLOGY SOLUTIONS LLC,13118955.1
2006-09-30,2009-10-29,CSRA LLC,13036975.45
2022-08-03,2024-03-05,"GATR TECHNOLOGIES, INC.",12613162.41
2019-08-26,2024-09-28,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",12605389.86
2023-02-23,2026-03-16,R3 STRATEGIC SUPPORT GROUP INC,12376306.3
2005-08-31,2010-09-30,"JOHNSON CONTROLS GOVERNMENT SYSTEMS, LLC",12274713.14
2005-06-29,2011-01-31,"LEIDOS, INC.",12220334.98
2024-05-01,2025-03-04,"ARCTICOM, LLC",12101550.53
2023-05-29,2023-08-03,"NOBLE SUPPLY & LOGISTICS, LLC",12000000.0
2015-07-22,2017-09-30,WORLD WIDE TECHNOLOGY LLC,11995086.16
2021-08-01,2025-03-05,PLANATE MANAGEMENT GROUP LLC,11990865.66
2022-10-11,2023-01-31,"AXLE INFORMATICS, LLC",11831230.0
2009-11-16,2010-06-30,GTS INTERNATIONAL LLC,11756904.0
2009-03-03,2010-03-02,THE BOEING COMPANY (0674),11578655.0
2024-04-25,2026-04-18,DEFENSE SYSTEMS AND SOLUTIONS,8801850.0
2025-09-10,2027-10-06,GOODRICH CORPORATION,8663791.29
2021-02-19,2023-07-31,VINA E&C INVESTMENT AND CONSTRUCTION JSC,8559999.0
2002-10-02,2003-09-30,CANADIAN COMMERCIAL CORPORATION,8430279.89
2010-05-01,2014-03-31,MERCURY AIR CENTER-LOS ANGELES INC,8376373.48
2015-10-19,2016-04-29,"ORION MARINE CONSTRUCTION, INC.",8354459.5
2022-09-30,2025-03-29,DELOITTE CONSULTING LLP,7946402.29
2012-08-10,2017-01-16,PARALLAX ADVANCED RESEARCH CORP,7898849.0
2015-10-01,2015-10-31,MCKESSON CORPORATION,7691729.31
2011-01-04,2013-01-03,SPECTRUM COMM INC.,7617343.1
2013-08-23,2014-01-28,"ATLANTIC DIVING SUPPLY, INC.",7586400.32
2019-07-26,2021-10-23,MARSHALL COMMUNICATIONS CORP,7485044.87
2017-09-07,2018-08-31,"L3HARRIS GLOBAL COMMUNICATIONS, INC.",7470445.81
2022-03-11,2025-12-02,"APPLIED RESEARCH ASSOCIATES, INC.",7467549.8
2009-09-30,2015-07-31,MERIDIAN KNOWLEDGE SOLUTIONS LLC,7412001.82
2010-09-17,2012-01-26,MCRAE INDUSTRIES INC,7406028.0
2024-12-01,2025-11-30,TRACE SYSTEMS INC.,7350937.22
2007-12-03,2008-10-31,THE DIALOG CORPORATION (0270),7175600.0
2012-04-01,2012-04-30,TYSON FRESH MEATS INC,7013597.99
2020-06-01,2020-09-30,TRIPLE CANOPY INC,6762787.21
2012-04-19,2017-04-18,"LEIDOS, INC.",6757135.32
1999-03-25,2007-12-31,THE KEYW CORPORATION,6737522.72
2017-07-20,2020-11-02,"IMG - CROWN ENERGY SERVICES JOINT VENTURE, LLC",6698531.46
2015-10-01,2016-09-30,WEST PUBLISHING CORPORATION,6606660.0
2016-10-31,2017-09-30,"PRIORITY FULFILLMENT SERVICES, INC.",6520307.58
2012-02-01,2012-02-29,COAST PRODUCE COMPANY,6478933.5
2010-03-11,2011-12-31,GENERAL DYNAMICS LAND SYSTEMS INC.,6469322.0
2009-01-16,2010-11-16,NATIONAL INDUSTRIES FOR THE BLIND,6446061.0
2010-05-05,2011-03-31,STARKIST CO,6412828.8
2013-12-20,2018-12-31,SAAB INC,6376905.0
2022-09-28,2028-09-29,"HYDROGEOLOGIC, INC.",6337268.05
2011-05-09,2030-05-30,"COINS 'N THINGS, INC.",6284444.06
2011-09-29,2015-02-22,NORTHROP GRUMMAN SYSTEMS CORPORATION,6281354.0
2025-07-18,2025-07-18,HII FLEET SUPPORT GROUP LLC,6224360.06
2006-05-05,2007-12-10,BREEZE-EASTERN LLC,6214661.6
2010-10-01,2011-09-30,GPC CONSOLIDATED REPORTING,6174769.0
2014-06-30,2015-06-29,QIVLIQ COMMERCIAL GROUP LLC,6157043.84
2024-12-12,2026-04-13,"L3HARRIS TECHNOLOGIES, INC.",6133886.86
2014-09-09,2015-01-09,"ADVANCED PROGRAMS, INC.",6052524.0
2021-11-29,2021-12-03,"COINS 'N THINGS, INC.",6040526.57
2008-07-18,2010-01-25,URS FEDERAL SERVICES INC.,5994785.3
2014-10-24,2017-05-31,RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,5917000.0
2020-05-15,2020-09-30,SUN-MAID GROWERS OF CALIFORNIA,5905011.48
2024-10-09,2025-02-25,S.C.A. - SHIPPING CONSULTANTS ASSOCIATED LTD.,5901120.32
2010-09-13,2011-09-13,ENGILITY LLC,5876436.89
2017-09-01,2018-05-10,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,5870688.37
2014-09-17,2014-10-10,EXXON MOBIL CORPORATION,5830524.0
2010-06-28,2013-08-09,MCGOLDRICK CONSTRUCTION SERVICES CORPORATION,5791270.0
2020-09-01,2020-09-09,"A-MARK PRECIOUS METALS, INC.",5770324.55
2021-10-18,2024-01-31,ADVON CORPORATION,5698853.9
2019-05-22,2020-02-29,INTERNATIONAL BUSINESS MACHINES CORPORATION,5672783.34
2014-09-23,2015-08-31,GSD&M LLC,5539413.0
2012-01-11,2017-01-10,"CACI NSS, LLC",5533889.48
2023-04-17,2023-04-25,"COINS 'N THINGS, INC.",5520318.42
2023-07-06,2023-07-27,BP PRODUCTS NORTH AMERICA INC.,5472978.0
2008-07-09,2010-02-05,"COLOR-AD, INC.",5314662.0
2006-05-26,2009-09-30,RAYTHEON COMPANY,5258996.04
2017-09-20,2020-09-19,DELOITTE CONSULTING LLP,5256651.8
2022-08-12,2026-08-11,LA JOLLA LOGIC LLC,5241227.3
2018-12-20,2022-12-21,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,5238784.71
2024-11-01,2026-10-31,G4S ESTONIA JV,5166469.63
2006-04-26,2007-05-30,PERATON INC.,5164395.8
2025-05-27,2026-01-31,TERRASOND LIMITED,5093917.13
2007-09-30,2008-06-26,"GRUNLEY/GOEL JV, LLC",5014835.0
2020-09-21,2025-09-30,THE NATIONAL CENTER FOR MISSING AND EXPLOITED CHILDREN,5006844.52
2008-05-05,2009-05-04,NORTHROP GRUMMAN SYSTEMS CORPORATION,4999969.0
2009-01-01,2012-12-31,"LEIDOS, INC.",4987636.67
2023-09-01,2025-12-31,BAE SYSTEMS ORDNANCE SYSTEMS INC,4946221.64
2015-06-12,2017-11-11,"SPRY METHODS, INC.",4940111.22
2011-04-27,2011-05-31,"IAP WORLDWIDE SERVICES, INC",4928808.9
2010-08-20,2012-02-22,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",4856271.59
2019-09-30,2024-08-27,"SYSTEM STUDIES & SIMULATION, INC.",4851066.29
2020-06-25,2020-07-01,"COINS 'N THINGS, INC.",4818250.59
2014-08-07,2014-09-01,PLACID REFINING COMPANY LLC,4784208.24
2024-12-09,2025-12-08,CARAHSOFT TECHNOLOGY CORP,4762155.29
2008-06-04,2008-08-13,ADVOCACY AND RESOURCES CORPORATION (ARC),4757823.2
2004-09-30,2009-09-30,"HEC/TOBYHANNA ENERGY PROJECT, INC.",4742570.11
2024-02-13,2027-02-14,R.S. MEANS COMPANY LLC,4726400.0
2005-03-28,2010-09-30,CASA COMERCIAL MATHEWS SA DE CV,4696319.57
2025-10-01,2026-09-30,DOMESTIC AWARDEES (UNDISCLOSED),4660500.0
2019-09-27,2019-10-30,IMMIXTECHNOLOGY INC,4638204.75
2025-08-12,2026-07-31,CATERPILLAR INC,4616269.0
2018-04-27,2019-08-27,"HONEYWELL INTERNATIONAL, INC",4608711.25
2004-09-28,2009-09-30,"BOEING AEROSPACE OPERATIONS, INC.",4592759.72
2023-08-28,2024-06-18,"ATLANTIC DIVING SUPPLY, INC.",4537500.0
2023-09-09,2026-09-08,"NOVITAS SOLUTIONS, INC.",4526620.13
2016-04-01,2021-03-31,"REI SYSTEMS, INC.",4519083.54
2022-06-10,2023-06-09,PERATON INC.,4497614.59
2025-10-01,2026-10-01,"WOOLPERT, INC.",4496585.4
2021-02-19,2024-03-14,"ICF INCORPORATED, L.L.C.",4473946.72
2021-02-26,2022-09-30,"LYNDEN AIR CARGO, LLC",4469105.85
2005-09-28,2011-08-26,"POLARIS ALPHA, LLC",4419634.83
2017-02-03,2018-02-02,"MCCANN-ERICKSON USA, INC.",4413799.08
2023-04-01,2024-09-30,"NTVI SOLUTIONS, LLC",4382627.12
2008-08-25,2009-09-30,BAE SYSTEMS INFORMATION TECHNOLOGY LIMITED LIABILITY COMPANY,4374567.1
2011-09-16,2017-06-28,BLACK & VEATCH SPECIAL PROJECTS CORP.,4370886.05
2019-08-29,2021-06-25,SEALASKA CONSTRUCTORS LLC,4363297.24
2008-01-07,2013-06-30,IHS GLOBAL INC,4345492.78
