start_date,end_date,recipient_name,amount
2008-09-01,2008-09-30,GEORGE WESTON BAKERIES INCORPORATED,127342.92
2022-08-08,2023-08-07,DELL FEDERAL SYSTEMS L.P,127510.1
2007-12-13,2008-05-07,"HASLER, INC.",127478.0
2010-07-22,2010-11-19,PARKER-HANNIFIN CORPORATION,127400.0
2008-09-01,2008-09-30,GEORGE WESTON BAKERIES INCORPORATED,127342.92
2022-10-19,2023-09-30,GE ENERGY POWER CONVERSION USA INC.,127131.0
2023-08-01,2024-10-07,"ATLANTIC DIVING SUPPLY, INC.",126981.28
2007-06-29,2008-07-25,"COGNOSANTE CDS, LLC",126800.49
2017-12-13,2018-04-12,"DCX-CHOL ENTERPRISES, INC",126750.0
2014-07-08,2014-10-06,"CHRYSLER GROUP, LLC, THE",126738.0
2007-03-29,2007-06-30,BAZILIO COBB ASSOCIATES PC,126563.04
2024-08-01,2025-08-30,"REDHAWK IT SOLUTIONS, LLC",126447.65
2009-11-03,2009-12-03,COLEMANS MILITARY SURPLUS LLC,126400.0
2012-02-13,2012-09-13,MISCELLANEOUS FOREIGN AWARDEES,126310.89
2011-09-30,2013-03-15,"CARDNO EM-ASSIST, INC.",126250.56
2024-07-23,2026-05-10,J. FRANCO REFORESTATION INC.,126094.12
2017-03-10,2019-02-18,HAMILTON SUNDSTRAND CORPORATION,126079.0
2022-07-01,2025-06-30,"FRANKLIN ADME CONSULT, LLC",126000.0
2024-12-19,2024-12-19,"BOILER SUPPLY COMPANY, INCORPORATED",125915.0
2010-07-01,2010-09-30,KODIAK ISLAND BOROUGH,125869.73
2014-02-11,2016-06-30,BELL BOEING JOINT PROJECT OFFICE,125720.25
2025-08-05,2026-08-04,FEDERAL RESOURCES CORPORATION,125552.85
2022-09-26,2022-11-09,KOTERO DESIGN LLC,125530.5
2008-01-14,2008-12-31,"MILLS-CONOLY ENGINEERING, P.C",125450.1
2022-08-01,2023-01-09,"C-LOCK, INC.",125445.0
2012-08-28,2013-02-26,"FEDERAL PRISON INDUSTRIES, INC",125419.2
2016-10-01,2017-09-30,INTERNATIONAL ORGANIZATION FOR MIGRATION,125362.52
2025-03-05,2025-06-30,"CMI MANAGEMENT, LLC",125356.8
2013-08-12,2013-09-30,"PANAMERICA COMPUTERS, INC.",125326.95
2010-12-02,2011-10-30,CENTURUM INC.,125280.0
2018-04-19,2018-10-19,"DYNAMIC DIMENSION TECHNOLOGIES, LLC",125000.0
2011-10-28,2012-07-27,"M4 ENGINEERING, INC.",124957.48
2016-06-10,2016-12-09,"M4 ENGINEERING, INC.",124955.0
2009-09-02,2024-01-25,"LEIDOS, INC.",124949.0
2020-08-31,2021-03-01,"INFIBERTECH, CORP",124937.0
2022-08-02,2026-07-31,"TRUSS MEDICAL REPAIR SOLUTIONS, INC.",124900.0
2019-02-14,2020-02-14,"KEYSIGHT TECHNOLOGIES, INC.",124890.0
2020-03-12,2021-03-11,STERLING COMPUTERS CORPORATION,124803.89
2020-08-31,2021-03-01,"JACKSON BOND ENTERPRISES, LLC",124782.0
2014-08-08,2015-06-30,"FORESEE RESULTS, INC.",124500.0
2019-08-16,2020-06-15,"THREE WIRE SYSTEMS, LLC",124468.12
2008-03-27,2008-03-31,US FOODS INC,124224.0
2002-04-11,2002-10-31,"LEIDOS, INC.",124130.74
2024-11-12,2025-11-07,"SENSOR SYSTEMS, L.L.C.",124103.75
2014-05-30,2014-11-26,UNISON INDUSTRIES LLC,124100.0
2009-12-09,2010-02-20,"COMMERCIAL LYNKS, INC",123900.0
2012-12-21,2013-06-30,"KBR WYLE SERVICES, LLC",123886.21
2011-08-31,2012-03-09,"HDR ARCHITECTURE, INC.",123886.16
2009-12-31,2010-01-04,MCKESSON CORPORATION,123829.0
2021-03-11,2022-03-31,"TRUCK COUNTRY OF WISCONSIN, INC.",123819.0
2014-08-02,2014-08-08,ANHAM FZCO,123717.78
2014-08-05,2014-08-05,PETRO STAR INC.,123629.6
2011-10-04,2011-12-30,"COLLEAGUE CONSULTING, LLC",123575.0
2014-09-24,2015-02-27,"ECCO EQUIPMENT COMPANY, LLC",123260.0
2016-08-17,2016-09-29,"ASRC FEDERAL FACILITIES LOGISTICS, LLC",123227.21
2019-04-02,2020-04-01,"ARKWIN INDUSTRIES, INC.",123200.0
2012-01-17,2012-02-12,"SEAWARD SERVICES, INC.",123094.53
2018-06-01,2018-06-30,GPC FOREIGN CONTRACTOR CONSOLIDATED REPORTING,122707.0
2007-11-01,2008-09-30,"MANAGEMENT HEALTH SYSTEMS, LLC",122688.0
2016-10-01,2017-09-30,"INTEGRATION TECHNOLOGIES GROUP, INC.",122589.93
2009-08-15,2010-01-01,L-3 COMMUNICATIONS CORPORATION,122576.0
2024-12-17,2025-01-31,MELLING LLC,122517.49
2012-08-10,2013-08-09,"LEIDOS, INC.",122403.36
2014-05-22,2014-05-22,"SYSCO WESTERN MINNESOTA, INC.",122355.71
2014-03-05,2014-12-30,SKF USA INC.,122355.5
2014-10-01,2015-09-30,"ADDUS HEALTHCARE, INC.",122338.93
2021-02-22,2021-02-25,LABATT INSTITUTIONAL SUPPLY CO,122188.2
2021-04-08,2022-02-06,"MARCH ELECTRONICS, INC.",122176.0
2007-10-01,2008-09-30,PARATA SYSTEMS LLC,122066.0
2020-01-23,2020-09-19,FORD MOTOR CO,122046.0
2016-12-01,2016-12-31,"JORDAN RESES SUPPLY COMPANY, LLC",122039.8
2016-10-13,2017-01-11,"EDRO CORPORATION, THE",121995.0
2011-06-07,2012-06-29,MISCELLANEOUS FOREIGN AWARDEES,121962.75
2025-10-06,2026-10-26,SCHAEFFLER AEROSPACE USA CORP,121903.58
2010-08-25,2011-09-10,KESLER CONSTRUCTION INC,121780.66
2021-01-29,2021-02-12,"MCGEAN-ROHCO, INC",121741.4
2023-11-01,2024-01-30,FCA US LLC,121740.0
2010-10-01,2011-09-30,"157 CHURCH, LLC",121704.57
2018-05-14,2019-04-30,PHILIPS NORTH AMERICA LLC,121627.0
2013-04-16,2013-07-28,"ECHO POWER ENGINEERING, LLC",121350.0
2011-09-08,2011-11-07,LB & B ASSOCIATES INC,121256.94
2019-04-26,2019-06-24,"VISION RESEARCH, INC",121220.78
2013-10-18,2015-04-20,TWIN SERVICES INC,121194.08
2017-12-11,2018-02-02,US JOINER LLC,121111.0
2012-05-11,2013-05-11,NORTHROP GRUMMAN SYSTEMS CORPORATION,120828.0
2008-07-01,2008-09-30,IRON MOUNTAIN INFORMATION MANAGEMENT LLC,120792.88
2010-03-30,2010-06-28,GENERAL MOTORS LLC,120750.0
2011-09-13,2012-08-10,"SNF, INC.",120709.0
2023-10-01,2024-09-30,IVY TECH COMMUNITY COLLEGE OF INDIANA,120686.4
2021-07-01,2022-09-30,WSP USA SOLUTIONS INC,120633.63
2011-09-27,2013-07-19,ALL ABOUT PAVEMENTS INC,120416.0
2022-09-21,2023-09-30,LINN WRITE & ASSOCIATES INC.,120300.0
2013-08-05,2014-08-22,"APOGEE ENGINEERING, LLC",120286.0
2018-08-31,2020-08-31,ACCIPITER RADAR CORPORATION,120000.0
2015-08-25,2015-08-25,AMERISOURCEBERGEN DRUG CORP,119956.8
2020-03-16,2020-03-16,FIRST NATION GROUP LLC,119942.4
2007-12-17,2008-03-31,VT GRIFFIN SERVICES INC.,119929.0
2018-03-15,2019-12-20,FCA US LLC,119670.0
2019-04-26,2026-05-31,"LEVEL 3 COMMUNICATIONS, LLC",119626.38
2015-10-01,2016-09-30,"ALOHA HEALTH JOINT VENTURE, LLC",119583.28
2021-09-20,2021-09-21,AMERISOURCEBERGEN DRUG CORP,119532.63
2024-12-11,2025-01-31,"FCN, INC.",119059.0
2010-09-28,2010-12-02,"ASRC FEDERAL FACILITIES LOGISTICS, LLC",119005.0
2011-10-01,2012-10-25,"INFINITE ENERGY, INC.",118961.6
2015-06-05,2017-11-30,CDW GOVERNMENT LLC,118896.41
2024-01-26,2025-03-19,"DIGITALIBIZ, LLC",118795.0
2008-09-24,2008-09-24,MISCELLANEOUS FOREIGN AWARDEES,118750.0
2013-07-09,2014-08-28,DK MACHINE INC,118750.0
2015-10-01,2015-10-30,"WS AUDIOLOGY USA, INC",118657.03
2006-05-01,2011-06-07,DELL MARKETING L.P.,118550.01
2009-08-31,2009-08-31,MCKESSON CORPORATION,118548.14
2017-09-19,2018-12-31,"NORTH WIND CONSTRUCTION SERVICES, LLC",118500.13
2015-02-16,2015-02-17,MCKESSON CORPORATION,118424.43
2015-03-05,2015-06-01,HYDRO ENGINEERING INC,118212.29
2007-02-14,2007-12-09,"ASSOCIATED POWERTRAIN, INC.",118171.64
2024-06-01,2025-05-31,"T & C CLEARING & RAILROAD REPAIR, INC.",118040.0
2023-01-09,2023-08-11,W S DARLEY & CO,117927.3
2023-02-14,2023-03-12,ASCOMA TCHAD,117923.14
2015-12-12,2015-12-21,MLS-MULTINATIONAL LOGISTIC SERVICES LIMITED,117919.78
2020-06-17,2020-08-16,COPITEL DI SANFILIPPO SALVATORE E C. S.N.C.,117794.34
2016-01-01,2016-02-29,TOTAL CARE CONNECTIONS INC,117736.38
2023-06-22,2024-03-30,WSP USA INC.,117698.3
2005-09-14,2006-09-26,ENGILITY LLC,117672.86
2008-01-16,2008-04-15,GENERAL MOTORS LLC,117600.0
2018-04-01,2018-04-30,"COMPLETE PACKAGING AND SHIPPING SUPPLIES, INC.",117533.39
2024-10-01,2026-04-29,GENERAL ELECTRIC COMPANY,117438.87
2018-12-20,2021-03-01,"SUNBELT DESIGN & DEVELOPMENT, INC",117375.0
2020-12-08,2021-06-30,"CCI UTILITY AND CONSTRUCTION SERVICES, LLC",117229.42
2019-08-05,2022-08-04,KUGLER ANDREW J,117112.9
2018-06-08,2020-05-28,HOFFMANN FABRICATING LLC,117072.6
2017-07-11,2018-01-29,"AAR MANUFACTURING, INC.",117028.5
2016-02-18,2016-06-28,"CME ARMA, INC.",116850.0
2012-07-11,2018-11-15,BOOZ ALLEN HAMILTON INC,116774.01
2020-01-01,2020-03-31,CITY HEIGHTS HEALTH ASSOCIATES LLC,116649.0
2017-07-01,2017-09-30,"AMERICAN SENIOR CARE CENTERS, INC",116478.12
2020-04-17,2020-07-03,ADVANCED TELEMETRY SYSTEMS INC,116430.0
2009-07-01,2009-09-30,"NORMANDY NORTHRIDGE, LLC",116404.79
2010-04-01,2010-09-30,"AFFAITATI, LLC",116332.05
2017-07-01,2018-06-30,"LAULIMA GOVERNMENT SOLUTIONS, LLC",116315.6
2013-08-12,2016-09-11,PARKER TIDE LLC,116300.34
2011-03-04,2011-06-28,STANDARD CALIBRATIONS INC,116280.0
2019-04-24,2019-05-01,AFRIBONE MALI SA,116225.79
2010-01-05,2013-05-31,"LOCKHEED MARTIN SERVICES, LLC",116201.15
2025-09-22,2026-10-05,"ATLANTIC DIVING SUPPLY, INC.",116159.85
2020-08-19,2022-02-23,TEXAS A&M ENGINEERING EXTENSION SERVICE,116068.25
2011-09-26,2011-11-04,"CREATIVE OFFICE ENVIRONMENTS OF RICHMOND, LLC",115760.47
2008-01-04,2008-03-04,"RL CAMPBELL MANAGEMENT SERVICES, INC.",115726.0
2017-09-08,2017-09-25,AQ GLOBAL FOR GENERAL TRADING & CONTRACTING CO. W.L.L.,115706.81
2025-03-12,2025-07-14,L3HARRIS MARITIME SERVICES INC,115698.8
2015-05-06,2015-05-24,"NOVARTIS VACCINES AND DIAGNOSTICS, INC.",115621.9
2009-09-27,2010-07-30,"MONACO ENTERPRISES, INC.",115524.72
2008-09-10,2009-02-09,BAE SYSTEMS SURVIVABILITY SYSTEMS LLC,115500.0
2010-08-13,2011-01-31,EVERYBODY'S INC.,115311.74
2019-01-01,2019-03-31,BD REDMOND IV LLC,115307.22
2011-10-06,2012-09-30,"KOMAN GOVERNMENT SOLUTIONS, LLC",115245.0
2018-03-13,2018-08-21,"HB&A, LLC",115244.53
2017-09-14,2019-09-18,B3 ENTERPRISES LLC,115161.6
2023-04-18,2023-09-30,"BEN FITZGERALD REAL ESTATE SERVICES, L.L.C.",115138.5
2016-09-30,2016-09-30,PEGRAM-WARGEL PAULINE,115073.0
2008-10-15,2009-09-30,RICOH USA INC,115000.0
2019-09-30,2020-04-30,MARK DUNNING INDUSTRIES,114999.81
2011-11-22,2011-11-22,"CARDINAL HEALTH, INC.",114834.33
2017-03-30,2017-06-30,"ATLANTIC BEVERAGE COMPANY, LLC",114605.7
2011-11-06,2011-11-07,"CARDINAL HEALTH, INC.",114565.09
2010-09-27,2010-11-08,"PHRONTIER TECHNOLOGIES, LLC",114552.0
2021-06-10,2021-06-26,BP PRODUCTS NORTH AMERICA INC.,114159.49
2015-11-01,2017-10-31,DEPARTMENT OF MEDICINE MEDICAL SERVICE GROUP AT THE SUNY HEALTH SCIENCE CENTER AT SYRACUSE INC.,113907.55
2022-05-19,2022-06-09,"GENERAL LEE ENTERPRISES, INC",113894.72
2009-03-05,2009-04-05,"PCMG, INC.",113866.39
2018-05-01,2018-09-30,"COMMUNITY ASSESSMENT AND TREATMENT SERVICES, INC.",113850.0
2014-09-30,2015-09-29,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",113807.6
2024-07-08,2024-07-09,AMERISOURCEBERGEN DRUG CORP,113780.7
2024-09-30,2025-01-31,CONNEXTIVITY LLC,113771.3
2007-04-23,2007-04-30,"GLOWLINK COMMUNICATIONS TECHNOLOGY, INC.",113746.27
2018-05-10,2018-05-23,FIRST NATION GROUP LLC,113692.8
2024-07-01,2026-06-30,"SUNPLUS DATA GROUP, INC.",113688.0
2019-02-14,2019-10-29,"ATLANTIC DIVING SUPPLY, INC.",113580.61
2009-03-20,2009-03-23,AMERISOURCEBERGEN DRUG CORP,113482.0
2018-05-11,2018-06-19,ACADEMY MEDICAL INC.,113446.7
2022-10-01,2023-09-30,RELX INC.,113400.0
2012-09-30,2012-09-30,DISABILITY MANAGEMENT NETWORK LTD,113187.0
2017-02-28,2018-09-14,WSP USA INC,113109.69
2016-01-26,2016-02-29,"CALUMET MONTANA REFINING, LLC",113103.3
2020-01-27,2020-06-25,FLEET VEHICLE SOURCE INC,113070.0
2019-06-03,2020-07-06,NORTHROP GRUMMAN SYSTEMS CORPORATION,113055.0
2011-09-22,2012-08-31,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",113017.22
2009-12-01,2010-11-30,HP INC.,112959.36
2023-06-30,2023-09-30,BEACHS TREES SELECTIVE HARVESTING LLC,112947.69
2011-09-19,2011-11-18,ENVISION XPRESS INC,112848.0
2020-08-20,2023-10-31,ENVIRONMENTAL SCIENCE CORPORATION,112766.11
2010-01-01,2010-09-30,55 FEE LLC,112649.46
2016-07-20,2016-07-26,ACC HEALTH LLC,112548.89
2019-09-12,2019-10-24,"VICTORY TACTICAL GEAR, LLC",112463.0
2012-10-01,2013-09-30,"PIEPHO MOVING & STORAGE, INC.",112031.35
2010-01-11,2010-02-25,"ATLANTIC DIVING SUPPLY, INC.",111952.0
2014-06-12,2015-06-11,CARAHSOFT TECHNOLOGY CORP,111946.94
2018-10-24,2019-09-04,"ATLANTIC DIVING SUPPLY, INC.",111890.95
2012-01-23,2012-03-21,TADAWULAT EST FOR TRADING AND CONTRACTING,111848.0
2024-09-30,2026-01-29,ONCOSPACE INC,111800.0
2013-06-26,2015-06-25,"PATRIOT TECHNOLOGIES, INC",111744.68
2013-10-07,2013-10-21,SUPPLYCORE LLC,111739.03
2012-01-23,2012-03-21,TADAWULAT EST FOR TRADING AND CONTRACTING,111848.0
2024-09-30,2026-01-29,ONCOSPACE INC,111800.0
2013-06-26,2015-06-25,"PATRIOT TECHNOLOGIES, INC",111744.68
2013-10-07,2013-10-21,SUPPLYCORE LLC,111739.03
2012-05-01,2012-07-30,"INTEGRITY INTERNATIONAL SECURITY SERVICES, INC.",111545.4
2008-07-03,2008-08-08,NORTH COAST EMERGENCY SERVICES,111497.72
2024-07-12,2024-07-26,GLOBAL FOOD SERVICES COMPANY,111343.57
2022-04-18,2022-04-25,"NOBLE SUPPLY & LOGISTICS, LLC",111337.6
2008-08-14,2010-06-18,KENNEDY/JENKS CONSULTANTS INC,111331.95
2020-08-21,2021-02-17,LITHIUM BATTERY ENGINEERING LIMITED LIABILITY COMPANY,111328.58
2019-08-14,2020-09-29,CARAHSOFT TECHNOLOGY CORP,111235.73
2013-08-06,2014-06-10,"UNETIXS VASCULAR, INC.",111208.8
2022-08-08,2026-08-07,CDW GOVERNMENT LLC,111166.13
2025-10-02,2025-10-20,"SYSCO HAMPTON ROADS, INC",110927.85
2017-03-23,2017-09-15,FCA US LLC,110829.0
2021-06-16,2021-06-17,AMERISOURCEBERGEN DRUG CORP,110734.99
2013-06-01,2013-06-08,SUPREME FOODSERVICE GMBH,110701.64
2009-03-30,2009-03-30,MCKESSON CORPORATION,110683.0
2009-10-15,2009-10-16,"CARDINAL HEALTH, INC.",110518.0
2010-08-03,2012-08-02,JOHNSON CONTROLS FIRE PROTECTION LP,110478.12
2025-03-10,2025-05-09,SOUNDPROOF SAN DIEGO INC,110400.25
2019-01-22,2019-05-10,CONCORDE BATTERY CORPORATION,110387.96
2021-03-08,2021-08-08,"CCI UTILITY AND CONSTRUCTION SERVICES, LLC",110356.3
2010-03-08,2010-04-14,"MICHELIN AIRCRAFT TIRE COMPANY, LLC",110164.0
2014-07-31,2014-10-03,MICROWAVE TELEMETRY INC,110050.0
2020-06-22,2020-06-26,MLSUSA CORP,110022.99
2021-11-24,2022-01-24,RENCO CORPORATION,110000.0
2015-02-27,2016-02-29,"ACCESS COMMUNICATIONS GROUP, LLC",109992.0
2018-04-30,2019-02-25,"ASRC FEDERAL FACILITIES LOGISTICS, LLC",109854.44
2012-03-30,2012-05-29,"ALTERNATIVE SUPPORT APPARATUS, LLC",109706.92
2014-05-23,2015-10-28,"WHIPPANY ACTUATION SYSTEMS, LLC",109600.0
2018-11-09,2019-02-24,WALK ON WOOD FLOOR COMPANY INC.,109374.3
2008-07-01,2008-09-30,BRADY SULLIVAN PLAZA LLC,109365.08
2019-02-06,2019-05-09,"ATLANTIC DIVING SUPPLY, INC.",109336.96
2014-04-11,2014-10-08,CONTROL PRODUCTS CORPORATION,109268.0
2023-09-14,2024-10-10,"NOBLE SUPPLY & LOGISTICS, LLC",109134.36
2018-02-08,2018-08-17,"RAP ENGINEERING, INC.",109042.0
2020-09-15,2022-09-14,MISCELLANEOUS FOREIGN AWARDEES,109032.0
2009-10-01,2010-09-30,BBC FAMILY LIMITED PARTNERSHIP,109013.34
2023-08-09,2023-10-27,"PROAIM AMERICAS, LLC.",108926.91
2016-08-25,2016-09-21,"EDMO DISTRIBUTORS, INCORPORATED",108849.32
2021-10-15,2023-01-20,GMR HEATING & AIR LLC,108801.93
2014-03-28,2015-06-17,DOMESTIC AWARDEES (UNDISCLOSED),108743.06
2024-12-12,2025-07-10,OSHKOSH DEFENSE LLC,108660.2
2010-02-09,2010-02-16,"MICHELIN NORTH AMERICA, INC",108423.64
2024-01-17,2024-08-26,EXCELLED SHEEPSKIN & LEATHER COAT CORP,108009.0
2014-10-09,2014-11-07,DOMESTIC AWARDEES (UNDISCLOSED),107995.8
2010-09-29,2011-10-28,"SUPERIOR COMMUNICATION SOLUTIONS, INC.",107990.81
2016-07-20,2016-07-21,AMERISOURCEBERGEN DRUG CORP,107908.34
2020-03-10,2021-03-09,CARTUS CORPORATION,107903.26
2018-05-09,2019-05-08,"RELIANCE RELOCATION SERVICES, INC",107900.0
2010-04-05,2010-04-23,"MADIX, INC.",107883.28
2022-11-08,2023-06-13,"ASRC FEDERAL FACILITIES LOGISTICS, LLC",107843.19
2009-10-02,2009-10-12,AGILITY PUBLIC WAREHOUSING COM PANY (K.S.C.P),107801.0
2011-08-30,2012-08-31,"BPSI/MPSC, LLC",107788.8
2019-07-01,2024-06-29,"BECTON, DICKINSON AND COMPANY",107772.14
2025-06-30,2026-04-30,VANTIVE US HEALTHCARE LLC,107710.47
2011-02-08,2011-10-26,"VERMONT AEROSPACE MANUFACTURING, INC.",107700.0
2016-07-12,2016-08-04,LIFE TECHNOLOGIES CORPORATION,107673.84
2012-11-15,2013-09-10,"BSE ENGINEERING, INC",107617.44
2015-01-13,2015-04-13,ANHAM FZCO,107520.0
2022-02-18,2022-06-30,MISCELLANEOUS FOREIGN AWARDEES,107500.0
2011-03-02,2011-04-01,"AAR SUPPLY CHAIN, INC",107459.0
2012-03-29,2012-06-30,"BBU, INC.",107220.36
2014-12-01,2016-06-13,"LEAGUE MEDICAL CONCEPTS, LLC",107180.9
2009-08-27,2011-06-14,SAAB TRAINING USA LLC,107037.0
2017-09-30,2018-09-29,INTERNATIONAL BUSINESS MACHINES CORPORATION,107004.0
2011-04-22,2012-04-21,BAUSCH & LOMB INCORPORATED,107000.0
2020-03-01,2025-02-28,EBSCO INDUSTRIES INC,106869.0
2016-01-21,2016-01-22,MCKESSON CORPORATION,106849.13
2016-05-12,2016-10-06,"ATLANTIC DIVING SUPPLY, INC.",106701.32
2014-01-22,2014-01-22,MCKESSON CORPORATION,106657.32
2022-07-07,2022-08-07,"FINELOGIX CO.,LTD.",106572.36
2009-09-01,2009-09-30,MISCELLANEOUS FOREIGN AWARDEES,106478.0
2012-12-18,2013-04-18,"ATLANTIC DIVING SUPPLY, INC.",106417.1
2008-01-08,2008-10-20,"COMMONWEALTH TECHNOLOGIES, LLC",106389.0
2009-07-01,2009-09-30,CA-MISSION STREET LIMITED PARTNERSHIP,106382.11
2017-04-28,2018-02-28,LOCUM INC,106358.34
2025-06-10,2026-06-29,"BLOOMBERG INDUSTRY GROUP, INC.",106236.0
2024-03-08,2025-09-30,"LAND SERVICES COMPANY, LLC",106106.5
2010-02-22,2010-03-03,SNOWBIRD TECHNOLOGIES INC.,106048.0
2012-11-19,2013-10-31,DIDLAKE INC,106042.64
2011-05-23,2013-05-24,"FUTURE POINT SYSTEMS, INC.",106020.0
2023-10-18,2024-01-19,"BK MEDICAL HOLDING COMPANY, INC.",105972.0
2019-12-18,2020-06-25,"MARATHONNORCO AEROSPACE, INC.",105905.0
2014-08-15,2015-01-23,VISION SYSTEMS INTERNATIONAL LLC,105894.0
2010-02-18,2010-06-03,"AMERICAN AIRLINES, INC",105877.2
2023-08-08,2024-01-15,PACIFIC MARITIME INDUSTRIES CORP.,105850.0
2007-10-12,2007-10-15,AMERISOURCEBERGEN DRUG CORP,105793.0
2014-09-16,2015-07-31,LAUREL TECHNOLOGIES PARTNERSHIP,105500.0
2020-10-23,2021-04-21,MEAK SOLUTIONS LLC.,105434.0
2010-07-01,2010-09-30,KINDRED NURSING CENTERS LIMITED PARTNERSHIP,105426.81
2014-04-23,2014-09-20,GENERAL MOTORS LLC,105360.0
2010-03-05,2013-11-18,"PRIMACY RELOCATION, LLC",105181.4
2015-07-28,2015-09-04,KOKATAT INC,105093.5
2010-09-27,2017-10-31,"DIETZ, TERRY",105000.0
2021-07-14,2021-09-14,"GOVSOLUTIONS, INC.",104915.8
2013-08-23,2015-10-31,"LEIDOS, INC.",104842.1
2010-10-21,2010-11-30,"C. LLOYD JOHNSON COMPANY, INC.",104815.2
2010-08-25,2010-10-22,BROTCKE WELL & PUMP INC.,104795.0
2022-05-27,2023-03-08,PCX INC,104306.2
2022-08-22,2022-12-23,"NOBLE SUPPLY & LOGISTICS, LLC",104138.84
2013-07-19,2013-10-19,MISCELLANEOUS FOREIGN AWARDEES,104100.0
2002-04-09,2009-09-12,"TETRA TECH, INC.",104049.0
2018-04-27,2018-08-27,ENGINEERED COIL COMPANY,104000.0
2011-10-01,2012-08-07,SEVEN CORNERS INC,103986.12
2022-06-22,2025-06-21,"MORGAN, ANGEL, BRIGHAM & ASSOCIATES L.L.C.",103960.32
2019-04-01,2019-09-20,BENJAMIN FOODS L.L.C.,103900.0
2008-12-15,2009-09-30,"CACI, INC. - FEDERAL",103849.0
2008-08-06,2008-09-03,ENVISION XPRESS INC,103750.04
2010-09-29,2010-10-13,TELOS CORPORATION,103666.02
2011-02-13,2011-02-13,SUPREME FOODSERVICE GMBH,103607.0
2011-10-01,2012-09-30,GEG GEBÄUDEDIENSTE GMBH,103562.73
2017-09-15,2018-09-14,ACTIVIDADES TURISTICAS SOCIEDAD ANONIMA,103541.76
2020-06-30,2020-07-22,AMERISOURCEBERGEN DRUG CORP,103507.82
2024-09-13,2024-09-27,REMOTE ACCESS MEDICAL LLC,103500.0
2019-06-21,2020-06-20,"SJS EXECUTIVES, LLC",103395.61
2009-12-28,2010-01-29,"C P BRODEUR, INC.",103305.44
2018-02-07,2019-06-30,GENERAL ELECTRIC COMPANY,103281.6
2023-08-01,2025-07-31,ALL AMERICAN EXPRESS SOLUTIONS LLC,103254.66
2013-08-06,2014-11-30,ABBOTT LABORATORIES INC.,103181.63
2012-05-24,2013-03-04,EDO CORP,103180.0
2022-07-27,2022-08-31,ASPHALT SYSTEMS INC,103175.0
2019-11-01,2019-11-19,MAN ENERGY SOLUTIONS KOREA LTD,103160.0
2006-03-06,2008-04-30,AL SABAH UNIVERSAL GROUP,103152.0
2018-12-03,2019-09-30,BERING STRAITS DEVELOPMENT CO.,103066.7
2012-11-27,2012-12-24,"CARDINAL HEALTH, INC.",103056.66
2008-12-16,2010-04-16,"PATRIOT TECHNOLOGIES, INC",102973.07
2007-11-14,2008-09-30,"MAERSK LINE, LIMITED",102941.07
2021-09-20,2022-07-22,"GENERAL DYNAMICS-OTS, INC.",102835.2
2019-09-30,2020-03-30,"FM TALENT SOURCE, LLC",102774.4
2020-09-29,2021-10-11,"NEW TECH SOLUTIONS, INC.",102637.24
2010-06-04,2010-06-13,"ON-SITE DENTAL CARE, INC.",102568.0
2023-12-07,2024-06-04,FORD MOTOR CO,102542.0
2008-01-15,2008-01-15,AMERISOURCEBERGEN DRUG CORP,102427.0
2006-12-04,2007-12-03,SIEMENS INDUSTRY INC,102420.0
2011-09-30,2012-02-22,JONES BROS ENTERPRISES INCORPORATED,102305.11
2018-01-02,2018-03-30,PALMETTO FOODS DISTRIBUTION LLC,102207.52
2013-01-23,2014-09-30,"CLARK FORK AND BLACKFOOT, L.LC., THE",102165.73
2008-09-24,2010-12-01,NEXGEN TECHNOLOGIES INC.,102121.44
2021-03-18,2021-10-09,ROBISON MEDICAL RESOURCE GROUP LLC,102118.52
2012-08-27,2012-09-30,FEDERAL CARTRIDGE COMPANY,102062.7
2014-08-27,2014-11-01,"ORENCO SYSTEMS, INC.",102036.84
2011-03-01,2011-09-30,LIFE TECHNOLOGIES CORPORATION,101871.0
2011-04-15,2011-05-23,CDW GOVERNMENT LLC,101741.42
2009-03-06,2010-03-09,"SAN DIEGO PERSONNEL & EMPLOYMENT AGENCY, INC.",101614.47
2017-09-27,2018-04-13,LEADING TECHNOLOGY COMPOSITES INC,101592.0
2024-09-22,2024-09-22,ALLEGIANT AIR LLC,101500.0
2021-08-25,2021-10-15,AANTILIA LLC,101487.4
2020-03-24,2020-07-03,ENGINEERING DESIGN MANAGEMENT P.C.,101460.06
2023-01-05,2023-08-03,FCA US LLC,101448.0
2012-09-30,2012-09-30,"LESSNE, DANA",101437.75
2017-09-25,2018-03-31,"MYTHICS, LLC",101406.4
2012-02-28,2012-12-31,PRIVACY VAULTS ONLINE INC,101250.0
2015-07-01,2016-03-11,"G E FORESTRY, INC",101211.0
2018-08-08,2019-08-07,"WESTWIND COMPUTER PRODUCTS, INC.",101209.2
2020-10-01,2021-09-30,AEG GROUP INC,101201.04
2018-03-13,2018-04-12,"PCMG, INC.",101020.48
2007-02-22,2009-08-28,"CANON U.S.A., INC.",100868.44
2022-06-13,2022-09-15,"EVENT 360, INC.",100782.0
2011-12-21,2012-12-31,RTX CORPORATION,100682.0
2020-11-29,2020-12-06,"ODP BUSINESS SOLUTIONS, LLC",100620.96
